Unnamed: 0,Coluna_0,Coluna_1,Coluna_2,Coluna_3,Coluna_4,Coluna_5,Coluna_7,Coluna_8,Coluna_11,Coluna_12
731,2017,3,12,18,7,40,-19.71761,-43.81775,0,3
10,2017,4,1,16,44,52,-20.16625,-43.92977,0,3
13151,2017,2,24,18,57,0,-19.75099,-44.59057,0,-3
378,2017,10,4,17,55,13,-19.66238,-44.32539,0,3
649,2017,10,4,18,21,7,-19.67554,-43.90936,0,-3
841,2017,10,4,18,33,54,-19.66234,-43.9978,0,3
1097,2017,10,4,18,49,59,-19.57656,-44.09696,0,-3
1494,2017,10,4,19,16,53,-19.59283,-44.46869,0,-3
1540,2017,10,4,19,18,54,-19.60177,-44.66021,0,-3
1546,2017,10,4,19,19,21,-19.58217,-44.42172,0,3
1692,2017,10,4,19,25,7,-19.50986,-44.26302,0,-3
1710,2017,10,4,19,27,15,-19.66807,-44.18457,0,-3
1711,2017,10,4,19,27,15,-19.54875,-44.30178,0,-3
1721,2017,10,4,19,27,49,-19.51471,-44.31448,0,3
2435,2017,10,4,19,5,24,-19.57265,-44.38111,0,3
2538,2017,10,4,20,10,11,-19.66367,-44.44815,0,-3
2541,2017,10,4,20,10,17,-19.70221,-44.51373,0,3
2621,2017,10,4,20,14,32,-19.67376,-44.49162,0,3
2750,2017,10,4,20,19,50,-19.69807,-44.4697,0,3
2845,2017,10,4,20,25,23,-19.7504,-44.47566,0,3
2850,2017,10,4,20,25,35,-19.68467,-44.33955,0,3
2869,2017,10,4,20,26,34,-19.73131,-44.49984,0,3
2947,2017,10,4,20,30,44,-19.78022,-44.32031,0,3
2963,2017,10,4,20,31,3,-19.7433,-44.559,0,3
3023,2017,10,4,20,37,10,-19.88,-44.44434,0,3
3444,2017,10,4,20,9,24,-19.65718,-44.32923,0,-3
3450,2017,10,4,20,9,35,-19.51118,-44.24236,0,3
3452,2017,10,4,20,9,36,-19.65376,-44.47792,0,3
3456,2017,10,4,20,9,58,-19.49893,-44.61009,0,3
3494,2017,10,4,21,15,15,-19.69804,-44.44682,0,3
3495,2017,10,4,21,15,16,-19.68796,-44.2995,0,3
3542,2017,10,4,21,24,4,-19.71547,-44.4825,0,3
3547,2017,10,4,21,25,58,-19.83177,-44.50625,0,-3
3554,2017,10,4,21,26,28,-19.86333,-44.65983,0,3
3730,2017,10,4,21,6,15,-19.96128,-44.43573,0,3
3747,2017,10,4,21,9,34,-19.74326,-44.50205,0,3
3748,2017,10,4,21,9,34,-19.86723,-44.2871,0,3
3749,2017,10,4,21,9,35,-19.88478,-44.09922,0,-3
136,2017,2,26,14,42,5,-19.85201,-43.79432,0,3
163,2017,2,26,15,11,28,-19.81574,-43.65237,0,-3
166,2017,2,26,15,12,21,-20.27266,-43.88442,0,3
173,2017,2,26,15,15,31,-19.75809,-43.63511,0,-3
177,2017,2,26,15,16,47,-19.81281,-43.62902,0,-3
188,2017,2,26,15,18,7,-19.72732,-43.78415,0,3
212,2017,2,26,15,22,30,-19.82026,-43.59998,0,3
241,2017,2,26,15,27,37,-19.80832,-43.62637,0,3
268,2017,2,26,15,29,7,-20.05928,-44.13476,0,3
428,2017,2,26,15,52,45,-19.64943,-43.72563,0,-3
478,2017,2,26,15,57,40,-20.32409,-43.56129,0,-3
528,2017,2,26,15,8,31,-19.82399,-43.6506,0,-3
735,2017,2,26,16,30,22,-20.3788,-43.79669,0,3
5475,2017,2,26,19,9,50,-19.82335,-44.45307,0,-3
7404,2017,2,26,21,39,20,-19.7254,-43.77354,0,-3
7808,2017,2,26,22,12,49,-19.73454,-43.58013,0,3
7852,2017,2,26,22,15,4,-19.72943,-43.64435,0,-3
8144,2017,2,26,22,48,20,-19.7705,-43.69162,0,-3
8155,2017,2,26,22,49,38,-19.80261,-43.67049,0,-3
8162,2017,2,26,22,50,41,-19.81673,-43.63832,0,-3
784,2017,1,14,15,34,9,-20.38087,-43.87349,0,-3
785,2017,1,14,15,34,9,-20.36379,-43.76684,0,-3
7157,2017,1,14,18,20,52,-20.00229,-43.94662,0,-3
13307,2017,1,14,19,53,41,-20.30653,-43.62261,0,-3
13711,2017,1,14,19,59,35,-20.34075,-43.73942,0,3
15519,2017,1,14,20,33,25,-20.33689,-43.71249,0,3
15770,2017,1,14,20,38,48,-20.29288,-43.73156,0,3
15771,2017,1,14,20,38,48,-20.32028,-43.94701,0,3
15885,2017,1,14,20,40,48,-20.31757,-43.65076,0,-3
16041,2017,1,14,20,43,26,-20.36357,-44.08221,0,-3
16044,2017,1,14,20,43,28,-20.29655,-43.84673,0,-3
16195,2017,1,14,20,45,53,-20.29156,-43.78622,0,-3
16445,2017,1,14,20,49,56,-20.31804,-43.68229,0,-3
17514,2017,1,14,20,8,48,-20.36097,-43.5727,0,-3
19646,2017,1,14,21,54,36,-19.74865,-43.80561,0,-3
20243,2017,1,14,21,8,14,-20.2295,-43.91322,0,3
20704,2017,1,14,22,20,28,-20.00981,-44.14142,0,3
21028,2017,1,14,22,30,29,-19.98314,-44.40873,0,-3
21031,2017,1,14,22,30,29,-20.00232,-44.24504,0,-3
21185,2017,1,14,22,35,16,-19.997,-44.08091,0,-3
21332,2017,1,14,22,40,32,-19.9443,-44.18997,0,-3
21382,2017,1,14,22,42,29,-19.9814,-44.08369,0,-3
21474,2017,1,14,22,46,31,-19.87875,-44.35205,0,3
21475,2017,1,14,22,46,31,-19.95752,-44.16029,0,3
21548,2017,1,14,22,48,37,-19.94958,-44.1011,0,-3
21597,2017,1,14,22,50,46,-20.03465,-44.0662,0,-3
21695,2017,1,14,22,53,57,-19.91435,-44.25943,0,3
21696,2017,1,14,22,53,57,-19.89123,-44.44279,0,3
21704,2017,1,14,22,53,6,-19.8378,-44.31989,0,3
22387,2017,1,14,23,13,41,-19.81525,-43.68715,0,3
22711,2017,1,14,23,32,37,-19.7762,-43.70541,0,3
23228,2017,1,14,23,0,35,-19.85506,-43.59995,0,-3
23275,2017,1,14,23,1,8,-19.95647,-44.13465,0,3
23314,2017,1,14,23,3,7,-19.96445,-44.09664,0,-3
23420,2017,1,14,23,7,27,-19.87264,-44.17281,0,-3
24577,2017,1,14,4,20,9,-20.08183,-44.60229,0,3
24628,2017,1,14,4,45,56,-19.77671,-44.65636,0,-3
24642,2017,1,14,4,51,45,-19.90102,-44.66768,0,-3
24711,2017,1,14,5,17,24,-19.83201,-44.50053,0,-3
24747,2017,1,14,5,30,15,-20.27913,-44.05877,0,-3
24751,2017,1,14,5,31,23,-20.37686,-43.88865,0,-3
24764,2017,1,14,5,37,9,-19.75414,-44.27316,0,3
24861,2017,1,14,6,7,16,-20.04677,-44.31559,0,3
1154,2017,4,27,17,55,33,-20.29556,-43.60149,0,3
3426,2017,4,27,19,20,20,-19.76568,-43.77031,0,-3
5805,2017,4,27,19,8,37,-19.80613,-43.86227,0,3
6250,2017,4,27,20,27,47,-20.32098,-43.59456,0,-3
6325,2017,4,27,20,31,36,-20.1651,-43.61002,0,3
6562,2017,4,27,20,46,54,-20.26918,-43.71753,0,-3
7437,2017,4,27,22,22,53,-19.61188,-43.59436,0,-3
7893,2017,4,27,23,8,0,-19.66923,-43.62724,0,3
506,2017,9,29,1,2,43,-19.7265,-44.18231,0,-3
15355,2017,1,12,16,52,37,-20.37601,-44.51553,0,-3
20198,2017,1,12,17,22,8,-20.34075,-43.58292,0,-3
21347,2017,1,12,17,31,26,-20.30931,-43.85062,0,-3
22566,2017,1,12,17,39,28,-20.29062,-43.76498,0,-3
24048,2017,1,12,17,49,10,-20.1484,-43.64597,0,3
24699,2017,1,12,17,53,55,-20.37729,-43.72238,0,3
25638,2017,1,12,17,59,33,-20.37059,-43.74625,0,3
27927,2017,1,12,18,13,24,-20.35787,-43.69622,0,-3
29091,2017,1,12,18,20,53,-20.28396,-43.59181,0,-3
31948,2017,1,12,18,41,25,-20.2256,-43.57905,0,3
32360,2017,1,12,18,44,25,-19.98489,-43.77894,0,3
32910,2017,1,12,18,48,32,-20.21729,-43.6159,0,3
35143,2017,1,12,18,4,19,-20.15146,-43.61036,0,3
35212,2017,1,12,18,4,37,-20.24951,-43.56876,0,-3
35487,2017,1,12,18,6,11,-20.18396,-43.69134,0,3
36911,2017,1,12,19,14,11,-20.26037,-43.59544,0,3
37108,2017,1,12,19,15,28,-20.18199,-43.75476,0,-3
37705,2017,1,12,19,19,35,-20.37316,-43.96534,0,3
38153,2017,1,12,19,22,44,-20.15587,-43.84911,0,-3
38743,2017,1,12,19,26,33,-20.38453,-43.8569,0,-3
39654,2017,1,12,19,32,47,-20.35194,-43.59456,0,-3
47871,2017,1,12,20,32,21,-20.22798,-44.00957,0,-3
50010,2017,1,12,20,57,56,-19.99653,-44.08315,0,-3
51740,2017,1,12,21,13,36,-19.98502,-44.09458,0,-3
51858,2017,1,12,21,14,58,-20.16608,-44.16259,0,-3
51977,2017,1,12,21,16,35,-20.16793,-43.76223,0,3
52061,2017,1,12,21,17,24,-20.01452,-43.96266,0,-3
52249,2017,1,12,21,19,51,-20.00659,-43.92365,0,-3
52419,2017,1,12,21,21,28,-19.99229,-43.97346,0,-3
52702,2017,1,12,21,24,0,-20.12091,-44.26649,0,-3
52721,2017,1,12,21,25,23,-19.95012,-44.1391,0,-3
52734,2017,1,12,21,25,34,-20.04545,-43.87584,0,-3
53048,2017,1,12,21,28,40,-20.01884,-43.92735,0,-3
53064,2017,1,12,21,28,50,-19.99962,-44.00494,0,3
53086,2017,1,12,21,28,4,-20.02991,-44.0479,0,-3
